Anio;Trimestre;ADSL;Cablemodem;Fibra_optica;Wireless;Otros;Total;Periodo;;;;;;;;;;;;;
2023; 4 ;836390;6022532;3908183;585760;194796;11547661; Octubre - Diciembre ;;;;;;;;;;;;;
2023; 3 ;897895;6018832;3708718;581436;200027;11406908; Julio - Septiembre ;;;;;;;;;;;;;
2023; 2 ;1006509;5997149;3463988;581823;202428;11251897; Abril - Junio ;;;;;;;;;;;;;
2023; 1 ;1204417;6002582;3243411;576647;214838;11241895; Enero - Marzo ;;;;;;;;;;;;;
2022; 4 ;1315373;6037457;3060575;572969;221740;11208114; Octubre - Diciembre ;;;;;;;;;;;;;
2022; 3 ;1395277;6031970;2871541;557110;235230;11091128; Julio - Septiembre ;;;;;;;;;;;;;
2022; 2 ;1468333;5979214;2723285;556243;231609;10958684; Abril - Junio ;;;;;;;;;;;;;
2022; 1 ;1533240;6073426;2219533;545814;251996;10624009; Enero - Marzo ;;;;;;;;;;;;;
2021; 4 ;1657615;5984240;2072236;523107;252596;10489794; Octubre - Diciembre ;;;;;;;;;;;;;
2021; 3 ;1950631;5826257;1566048;492415;250190;10085541; Julio - Septiembre ;;;;;;;;;;;;;
2021; 2 ;2018587;5641731;1472246;476968;253552;9863084; Abril - Junio ;;;;;;;;;;;;;
2021; 1 ;2175211;5424782;1362976;434548;250455;9647972; Enero - Marzo ;;;;;;;;;;;;;
2020; 4 ;2213949;5371824;1311199;421554;253036;9571562; Octubre - Diciembre ;;;;;;;;;;;;;
2020; 3 ;2263889;5259351;1170879;413259;248821;9356199; Julio - Septiembre ;;;;;;;;;;;;;
2020; 2 ;2295533;5005115;1106725;376667;247016;9031056; Abril - Junio ;;;;;;;;;;;;;
2020; 1 ;2299457;4903674;1047817;352333;209145;8812426; Enero - Marzo ;;;;;;;;;;;;;
2019; 4 ;2414575;4883869;941295;340144;213298;8793181; Octubre - Diciembre ;;;;;;;;;;;;;
2019; 3 ;2909805;4800091;852221;338241;264326;9164684; Julio - Septiembre ;;;;;;;;;;;;;
2019; 2 ;2990457;4635575;760794;308027;265328;8960181; Abril - Junio ;;;;;;;;;;;;;
2019; 1 ;3132789;4435439;637099;276419;166389;8648135; Enero - Marzo ;;;;;;;;;;;;;
2018; 4 ;3329027;4313831;388013;264299;178485;8473655; Octubre - Diciembre ;;;;;;;;;;;;;
2018; 3 ;3521447;4238171;247366;246181;93870;8347035; Julio - Septiembre ;;;;;;;;;;;;;
2018; 2 ;3557216;4038141;226285;194267;94535;8110444; Abril - Junio ;;;;;;;;;;;;;
2018; 1 ;3574294;3981129;217460;165300;98870;8037053; Enero - Marzo ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
